CityID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,hilo,90,US,1563410230,65,19.71,-155.08,80.6,4.7
1,diego de almagro,0,CL,1563410577,91,-26.39,-70.05,45.6,1.43
2,muli,68,CN,1563410853,88,28.08,109.56,78.0,2.71
3,port alfred,66,ZA,1563410534,76,-33.59,26.89,59.0,4.94
4,puerto ayora,6,EC,1563410446,93,-0.74,-90.35,70.0,5.01
5,punta arenas,20,CL,1563410429,86,-53.16,-70.91,33.8,5.82
6,dikson,0,RU,1563410429,71,73.51,80.55,45.24,8.46
7,atuona,12,PF,1563410471,71,-9.8,-139.03,80.16,12.82
8,yaan,51,NG,1563410712,96,7.38,8.57,74.04,6.38
9,mataura,99,NZ,1563410435,77,-46.19,168.86,48.99,1.99
10,port blair,100,IN,1563410855,81,11.67,92.75,83.58,18.84
11,tome,75,JP,1563410855,100,38.69,141.2,68.0,2.24
12,beisfjord,9,NO,1563410856,76,68.38,17.6,48.2,13.87
13,krasnyy chikoy,91,RU,1563410856,88,50.36,108.75,63.78,2.06
14,qaanaaq,0,GL,1563410456,46,77.48,-69.36,45.78,0.96
15,saskylakh,73,RU,1563410444,63,71.97,114.09,46.68,11.56
16,rikitea,20,PF,1563410424,75,-23.12,-134.97,71.52,24.07
17,kathu,0,ZA,1563410856,59,-27.7,23.05,42.01,6.24
18,hobart,75,AU,1563410511,57,-42.88,147.33,50.0,5.82
19,henties bay,0,NA,1563410601,58,-22.12,14.28,61.8,13.56
20,vaini,75,IN,1563410555,100,15.34,74.49,69.8,5.82
21,inuvik,75,CA,1563410857,60,68.36,-133.71,75.2,4.7
22,bluff,0,AU,1563410490,41,-23.58,149.07,60.72,3.11
23,hermanus,61,ZA,1563410587,73,-34.42,19.24,64.0,4.0
24,nouadhibou,44,MR,1563410695,83,20.93,-17.03,69.8,14.99
25,qaqortoq,100,GL,1563410858,66,60.72,-46.03,53.6,4.7
26,bredasdorp,90,ZA,1563410279,63,-34.53,20.04,64.0,4.7
27,moose factory,1,CA,1563410612,45,51.26,-80.61,68.0,6.93
28,ushuaia,75,AR,1563410210,52,-54.81,-68.31,41.0,17.22
29,coquimbo,0,CL,1563410431,87,-29.95,-71.34,51.8,3.36
30,avarua,0,CK,1563410328,69,-21.21,-159.78,77.0,17.22
31,nanyuki,2,KE,1563410859,84,0.01,37.07,54.78,16.53
32,butaritari,79,KI,1563410495,68,3.07,172.79,83.76,6.76
33,albany,90,US,1563410246,88,42.65,-73.75,75.99,3.87
34,lang suan,40,TH,1563410861,100,9.95,99.07,77.0,1.12
